,date,dayNum,dayOfWeek,yearFreq,seasonal,weekly,forecast,low80,low95,high80,high95
148,2015-10-01,2637,Thursday,0.747945205479452,1.01567275654218,1.0907907178215501,636703604.8592739,632630113.5199263,630484297.6751597,640803325.3194631,642984261.3616781
149,2015-10-02,2638,Friday,0.7506849315068491,1.01517349197652,1.03940894167008,636534763.5660901,632394359.3945312,630213474.8956667,640702275.7382947,642919457.2445691
150,2015-10-03,2639,Saturday,0.753424657534247,1.01478522039863,0.79890765432084,636365751.2417891,632157800.2346126,629941520.7639177,640601712.425649,642855496.907773
151,2015-10-04,2640,Sunday,0.7561643835616441,1.01455066912278,0.789006417913836,636196570.499836,631920437.2042251,629668435.8565437,640501639.9001882,642792386.0677141
152,2015-10-05,2641,Monday,0.7589041095890409,1.0140382487759598,1.11422156824151,636027223.9442359,631682271.4705917,629394220.7622534,640402062.6642643,642730130.423332
153,2015-10-06,2642,Tuesday,0.7616438356164379,1.013856803409,1.11356446964417,635857714.1694319,631443304.2039255,629118876.0815974,640302985.2038859,642668735.6561484
154,2015-10-07,2643,Wednesday,0.7643835616438359,1.01439510207409,1.10488020668546,635688043.7601751,631203536.577227,628842402.4267317,640204411.9887431,642608207.430352
155,2015-10-08,2644,Thursday,0.767123287671233,1.01526439971074,1.09089252039068,635518215.2914307,630962969.7660981,628564800.4212111,640106347.4722277,642548551.3928796
156,2015-10-09,2645,Friday,0.7698630136986301,1.01628723654232,1.03949676996923,635348231.3282571,630721604.948552,628286070.6997343,640008796.0913744,642489773.1735035
157,2015-10-10,2646,Saturday,0.772602739726027,1.0175816468514398,0.7987384338784441,635178094.4257025,630479443.3048196,628006213.9079516,639911762.2669297,642431878.3848804
158,2015-10-11,2647,Sunday,0.775342465753425,1.0193704459995299,0.7887314450118159,635007807.1286924,630236486.0171739,627725230.7022576,639815250.4033304,642374872.6226652
159,2015-10-12,2648,Monday,0.7780821917808219,1.0210403210969201,1.1143374469856202,634837371.9719476,629992734.2697276,627443121.7495339,639719264.888695,642318761.4655681
160,2015-10-13,2649,Tuesday,0.7808219178082191,1.0226721268079,1.11365757978316,634666791.4798329,629748189.2482827,627159887.7269789,639623810.0948335,642263550.4754363
161,2015-10-14,2650,Wednesday,0.783561643835616,1.02463015073373,1.10497655936016,634496068.1663065,629502852.1401308,626875529.321905,639528890.3772639,642209245.197337
162,2015-10-15,2651,Thursday,0.786301369863014,1.0266932031987301,1.0909943324609699,634325204.5347722,629256724.1338841,626590047.2314909,639434510.0752022,642155851.1596127
163,2015-10-16,2652,Friday,0.7890410958904108,1.02863842789883,1.03958460568972,634154203.0780137,629009806.4193112,626303442.1626219,639340673.511582,642103373.8739905
164,2015-10-17,2653,Saturday,0.7917808219178081,1.03024131637459,0.798569249279438,633983066.2780843,628762100.1871548,626015714.8316739,639247384.9930286,642051818.8356278
165,2015-10-18,2654,Sunday,0.794520547945205,1.03174076916159,0.7884565679393041,633811796.6062039,628513606.6289645,625726865.9643279,639154648.8099055,642001191.5232133
166,2015-10-19,2655,Monday,0.7972602739726031,1.03358740228224,1.1144533377811001,633640396.5226566,628264326.9369458,625436896.2953461,639062469.2362739,641951497.3990148
167,2015-10-20,2656,Tuesday,0.8,1.0350148388412,1.11375069770751,633468868.4767252,628014262.3037782,625145806.5684397,638970850.5299513,641902741.9089825
